case_id,complaint_id,client_complaint_id,task_id,description,asset_id,asset_type,section_id,state,city,reported_at,target_department,target_fault_category,target_base_priority,target_final_priority,target_human_review_required,target_confidence,status,resolution_type,reopened,reopening_reason,deferred,deferral_reason,safety_explanation,verified_by,notes
C-211,C-211,C-20260811-1010,T-211,Signal cable insulation fault suspected near S-03.,ELE-S03-02,Electrical Equipment,S-03,Andhra Pradesh,Tenali,2026-08-11T09:15:00+05:30,Electrical,Cable insulation fault,Critical,Critical,True,0.73,Completed,Recalibrated,False,,False,,Safety-critical asset; failure could compromise signal integrity.,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-212,C-212,C-20260711-1011,T-212,Track circuit showing intermittent failure at S-04.,SIG-S04-01,Signal,S-04,Andhra Pradesh,Guntur,2026-07-11T09:15:00+05:30,Signalling,Track circuit failure,Low,Low,False,0.9,Completed,Recalibrated,False,,False,,,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-213,C-213,C-20260820-1012,T-213,Traction substation tripped unexpectedly near S-03.,ELE-S03-01,Electrical Equipment,S-03,Andhra Pradesh,Tenali,2026-08-20T09:15:00+05:30,Electrical,Substation trip,Medium,Medium,False,0.9,Completed,Cleaned/Tested,False,,False,,,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-214,C-214,C-20260711-1013,T-214,Point machine not switching correctly at S-01.,PM-S01-01,Point Machine,S-01,Andhra Pradesh,Vijayawada,2026-07-11T09:15:00+05:30,Signalling,Point machine failure,Critical,Critical,True,0.88,Deferred,,True,New symptom of same fault reported,True,Required block not granted,Unsafe condition reported near running line; immediate attention flagged.,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-215,C-215,C-20260705-1014,T-215,Rail alignment appears off after recent inspection near S-01.,TRK-S01-02,Track,S-01,Andhra Pradesh,Vijayawada,2026-07-05T09:15:00+05:30,Track,Rail misalignment,Low,Low,True,0.6,Completed,Recalibrated,False,,False,,,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-216,C-216,C-20260708-1015,T-216,Escalator/machinery breakdown reported at station in S-01.,STN-S01-02,Station Machinery,S-01,Andhra Pradesh,Vijayawada,2026-07-08T09:15:00+05:30,Electrical,Station machinery breakdown,Low,Low,False,0.96,Deferred,,True,Fault recurred within 48 hours,True,Required block not granted,,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-217,C-217,C-20260630-1016,T-217,Axle counter mismatch alarm at S-03.,SIG-S03-01,Signal,S-03,Andhra Pradesh,Tenali,2026-06-30T09:15:00+05:30,Signalling,Axle counter error,Low,Medium,False,0.97,Completed,Recalibrated,False,,False,,,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-218,C-218,C-20260724-1017,T-218,Point machine not switching correctly at S-04.,PM-S04-01,Point Machine,S-04,Andhra Pradesh,Guntur,2026-07-24T09:15:00+05:30,Signalling,Point machine failure,Medium,Medium,True,0.67,Emergency,,False,,False,,Potential risk to train movement if unresolved before next service.,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-219,C-219,C-20260801-1018,T-219,Signal cable insulation fault suspected near S-04.,ELE-S04-01,Electrical Equipment,S-04,Andhra Pradesh,Guntur,2026-08-01T09:15:00+05:30,Electrical,Cable insulation fault,Critical,Critical,True,0.68,Deferred,,False,,True,Required block not granted,Unsafe condition reported near running line; immediate attention flagged.,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-220,C-220,C-20260716-1019,T-220,Axle counter mismatch alarm at S-04.,SIG-S04-01,Signal,S-04,Andhra Pradesh,Guntur,2026-07-16T09:15:00+05:30,Signalling,Axle counter error,Critical,Critical,True,0.69,Deferred,,True,New symptom of same fault reported,True,Required block not granted,Safety-critical asset; failure could compromise signal integrity.,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
