event_id,task_id,case_id,event_type,old_status,new_status,event_reason,reported_by,created_at,remaining_work_minutes,final_priority
EVT-777,T-214,C-214,STATUS_CHANGE,Waiting for Block,Scheduled,Routine workflow progression,maint_manager_01,2026-07-11T07:45:00+05:30,60,Critical
EVT-778,T-214,C-214,STATUS_CHANGE,Scheduled,In Progress,Routine workflow progression,TEAM-TRK-01,2026-07-11T16:45:00+05:30,60,Critical
EVT-779,T-214,C-214,STATUS_CHANGE,In Progress,Deferred,Required block not granted,role1_system,2026-07-11T20:00:00+05:30,30,Critical
EVT-780,T-215,C-215,STATUS_CHANGE,Reported,Under Review,Routine workflow progression,role1_system,2026-07-06T22:15:00+05:30,0,Low
EVT-781,T-215,C-215,STATUS_CHANGE,Under Review,Assigned,Routine workflow progression,TEAM-ELE-01,2026-07-06T20:15:00+05:30,30,Low
EVT-782,T-215,C-215,STATUS_CHANGE,Assigned,Waiting for Block,Routine workflow progression,TEAM-SIG-01,2026-07-06T18:45:00+05:30,30,Low
EVT-783,T-215,C-215,STATUS_CHANGE,Waiting for Block,Scheduled,Routine workflow progression,maint_manager_01,2026-07-06T07:30:00+05:30,0,Low
EVT-784,T-215,C-215,STATUS_CHANGE,Scheduled,In Progress,Routine workflow progression,role1_system,2026-07-06T18:30:00+05:30,30,Low
EVT-785,T-215,C-215,STATUS_CHANGE,In Progress,Completed,Routine workflow progression,maint_manager_01,2026-07-07T10:30:00+05:30,0,Low
EVT-786,T-216,C-216,STATUS_CHANGE,Reported,Under Review,Routine workflow progression,maint_manager_01,2026-07-08T10:30:00+05:30,30,Low
EVT-787,T-216,C-216,STATUS_CHANGE,Under Review,Assigned,Routine workflow progression,TEAM-ELE-01,2026-07-08T10:00:00+05:30,30,Low
EVT-788,T-216,C-216,STATUS_CHANGE,Assigned,Waiting for Block,Routine workflow progression,TEAM-ELE-01,2026-07-08T16:15:00+05:30,60,Low
EVT-789,T-216,C-216,STATUS_CHANGE,Waiting for Block,Scheduled,Routine workflow progression,TEAM-ELE-01,2026-07-08T22:30:00+05:30,0,Low
EVT-790,T-216,C-216,STATUS_CHANGE,Scheduled,In Progress,Routine workflow progression,TEAM-SIG-01,2026-07-08T11:15:00+05:30,30,Low
EVT-791,T-216,C-216,STATUS_CHANGE,In Progress,Deferred,Required block not granted,TEAM-ELE-01,2026-07-09T12:15:00+05:30,15,Low
EVT-792,T-217,C-217,STATUS_CHANGE,Reported,Under Review,Routine workflow progression,role1_system,2026-06-30T15:00:00+05:30,60,Medium
EVT-793,T-217,C-217,STATUS_CHANGE,Under Review,Assigned,Routine workflow progression,maint_manager_01,2026-07-01T22:00:00+05:30,30,Medium
EVT-794,T-217,C-217,STATUS_CHANGE,Assigned,Waiting for Block,Routine workflow progression,maint_manager_01,2026-07-02T10:45:00+05:30,15,Medium
EVT-795,T-217,C-217,STATUS_CHANGE,Waiting for Block,Scheduled,Routine workflow progression,TEAM-TRK-01,2026-07-02T11:45:00+05:30,0,Medium
EVT-796,T-217,C-217,STATUS_CHANGE,Scheduled,In Progress,Routine workflow progression,TEAM-SIG-01,2026-07-02T13:45:00+05:30,60,Medium
EVT-797,T-217,C-217,STATUS_CHANGE,In Progress,Completed,Routine workflow progression,TEAM-ELE-01,2026-07-02T13:15:00+05:30,0,Medium
EVT-798,T-218,C-218,STATUS_CHANGE,Reported,Emergency,Emergency condition detected,TEAM-ELE-01,2026-07-24T12:30:00+05:30,60,Medium
EVT-799,T-219,C-219,STATUS_CHANGE,Reported,Under Review,Routine workflow progression,TEAM-ELE-01,2026-08-01T15:45:00+05:30,60,Critical
EVT-800,T-219,C-219,STATUS_CHANGE,Under Review,Assigned,Routine workflow progression,TEAM-ELE-01,2026-08-01T11:15:00+05:30,60,Critical
EVT-801,T-219,C-219,STATUS_CHANGE,Assigned,Waiting for Block,Routine workflow progression,TEAM-SIG-01,2026-08-01T07:45:00+05:30,30,Critical
EVT-802,T-219,C-219,STATUS_CHANGE,Waiting for Block,Scheduled,Routine workflow progression,role1_system,2026-08-01T22:00:00+05:30,30,Critical
EVT-803,T-219,C-219,STATUS_CHANGE,Scheduled,In Progress,Routine workflow progression,TEAM-TRK-01,2026-08-01T14:45:00+05:30,60,Critical
EVT-804,T-219,C-219,STATUS_CHANGE,In Progress,Deferred,Required block not granted,TEAM-ELE-01,2026-08-01T08:15:00+05:30,45,Critical
EVT-805,T-220,C-220,STATUS_CHANGE,Reported,Under Review,Routine workflow progression,TEAM-SIG-01,2026-07-17T06:45:00+05:30,0,Critical
EVT-806,T-220,C-220,STATUS_CHANGE,Under Review,Assigned,Routine workflow progression,maint_manager_01,2026-07-17T17:15:00+05:30,45,Critical
EVT-807,T-220,C-220,STATUS_CHANGE,Assigned,Waiting for Block,Routine workflow progression,TEAM-SIG-01,2026-07-17T13:00:00+05:30,30,Critical
EVT-808,T-220,C-220,STATUS_CHANGE,Waiting for Block,Scheduled,Routine workflow progression,TEAM-SIG-01,2026-07-17T10:15:00+05:30,0,Critical
EVT-809,T-220,C-220,STATUS_CHANGE,Scheduled,In Progress,Routine workflow progression,TEAM-ELE-01,2026-07-17T10:45:00+05:30,45,Critical
EVT-810,T-220,C-220,STATUS_CHANGE,In Progress,Deferred,Required block not granted,role1_system,2026-07-17T08:00:00+05:30,30,Critical
